Date,Open,High,Low,Close
11/12/2014,9030.13,9030.13,8894.11,8918.95
11/13/2014,8947.97,8980.67,8927.09,8980.67
11/14/2014,8992.4,8996.38,8950.23,8982.88
11/17/2014,9003.37,9024,8878.38,8884.39
11/18/2014,8916.08,8944.26,8828.15,8859.07
11/19/2014,8896.16,8988.64,8879.29,8963.24
11/20/2014,8984.93,9078.87,8984.93,9078.87
11/21/2014,9104.34,9111.18,9071.86,9091.53
11/24/2014,9144.42,9165.71,9104.54,9122.33
11/25/2014,9125.27,9153.55,9098.32,9116.24
11/26/2014,9125.08,9146.04,9112.19,9122.39
11/27/2014,9153.49,9217.73,9153.49,9165.31
11/28/2014,9163.19,9201.8,9158.28,9187.15
12/1/2014,9038.41,9164.54,8998.55,9117.71
12/2/2014,9098.36,9104.84,9009.69,9034.79
12/3/2014,9073.47,9188.32,9045.2,9175.26
12/4/2014,9212.85,9251.85,9195.15,9225.11
12/5/2014,9220.25,9240.51,9192.29,9206.57
12/8/2014,9231.24,9241.63,9174.51,9187.29
12/9/2014,9163.43,9177.14,9127.12,9128.9
12/10/2014,9115.33,9140.49,9015.52,9032.16
12/11/2014,9003.84,9046.4,8971.53,9013.07
12/12/2014,9041.54,9084.27,9022.56,9027.33
12/15/2014,8987.95,8997.08,8943.04,8985.63
12/16/2014,8967.82,9031.07,8950.91,8950.91
12/17/2014,8961.64,8972.12,8826.03,8828.36
12/18/2014,8912.78,8946.42,8876.88,8878.63
12/19/2014,8981.85,9035.77,8953.17,8999.52
12/22/2014,9032.42,9099.85,9024.01,9095
12/23/2014,9123.78,9138.15,9093.43,9097.71
12/24/2014,9096.48,9186.18,9096.48,9186.18
12/25/2014,9186.83,9198.04,9153.77,9158.7
12/26/2014,9171.91,9214.07,9158.39,9214.07
12/29/2014,9216.43,9313.33,9216.43,9286.28
12/30/2014,9299.1,9338.06,9262.7,9268.43
12/31/2014,9260.46,9307.26,9252.31,9307.26
1/5/2015,9292.31,9292.31,9182.02,9274.11
1/6/2015,9209.93,9209.93,9043.44,9048.34
1/7/2015,9051.94,9108.66,9050.54,9080.09
1/8/2015,9154.03,9246.62,9154.03,9238.03
1/9/2015,9247.4,9284.57,9215.58,9215.58
1/12/2015,9198.02,9229.65,9178.3,9178.3
1/13/2015,9162.77,9253.82,9161.71,9231.8
1/14/2015,9235.9,9242.2,9161.71,9180.23
1/15/2015,9197.32,9219.43,9149.1,9165.09
1/16/2015,9245.77,9256.86,9109.46,9138.29
1/19/2015,9183.76,9247.09,9151.82,9174.06
1/20/2015,9188.76,9259.31,9177.48,9251.69
1/21/2015,9283.79,9319.71,9275.68,9319.71
1/22/2015,9336.81,9386.56,9336.81,9369.51
1/23/2015,9422,9471.8,9422,9470.94
1/26/2015,9474.56,9478.53,9436.47,9477.67
1/27/2015,9505.56,9523.73,9471.19,9521.59
1/28/2015,9503.2,9515.29,9471.31,9510.92
1/29/2015,9479.36,9482.13,9403.75,9426.9
1/30/2015,9452.85,9466.65,9361.91,9361.91
2/2/2015,9368.83,9410.43,9352.19,9386.99
2/3/2015,9394.47,9460.17,9394.47,9448.73
2/4/2015,9477.52,9533.88,9477.52,9513.92
2/5/2015,9511.06,9517.42,9472.42,9512.05
